Student_ID,Math,English,Science,Study_Hours,Attendance,Sleep_Hours,Mobile_Usage,Assignment_Score,Previous_Exam_Score,Performance,Risk_Level,Weak_Subject
1,0.04,-0.99,1.63,0.39,1.68,-0.14,0.9,0.41,-0.95,Average,Low Risk,English
2,-1.37,-1.51,-1.58,1.83,1.26,0.52,1.87,1.48,-0.02,Average,Low Risk,Science
3,1.42,1.61,1.48,-0.09,-0.99,-1.44,-0.55,0.92,0.26,Good,High Risk,Math
4,-1.28,0.14,-0.49,1.35,-0.99,1.82,0.9,0.69,1.09,Average,High Risk,Math
5,-1.14,-0.14,-0.54,1.83,1.19,-0.14,0.42,0.13,-0.53,Average,Low Risk,Math
6,1.37,-0.9,1.72,0.39,1.33,0.52,-0.07,-1.32,-0.99,Average,Low Risk,English
7,0.61,0.8,1.48,-1.54,0.7,0.52,0.9,1.67,-0.44,Good,High Risk,Math
8,-0.14,-1.18,-1.06,0.87,-0.15,1.17,-1.52,-0.24,1.37,Average,Medium Risk,English
9,-0.0,1.75,1.01,-0.09,-0.15,1.17,0.9,0.08,-0.2,Average,Medium Risk,Math
10,0.23,1.18,0.92,-0.58,1.19,-0.79,-0.07,0.74,0.12,Good,Low Risk,Math
11,-0.38,0.28,1.3,0.87,1.75,1.17,1.39,1.58,0.86,Good,Low Risk,Math
12,-1.23,-0.66,-1.34,-0.09,1.61,1.17,-0.07,-0.52,-1.46,Poor,Low Risk,Science
13,-0.85,0.85,0.07,-1.06,1.26,0.52,1.87,-0.9,-1.36,Average,Low Risk,Math
14,-0.57,-0.8,0.68,-0.09,-0.71,1.82,0.42,1.53,0.63,Average,Medium Risk,English
15,-1.04,0.1,1.11,-0.09,-0.29,-1.44,1.87,1.67,0.77,Average,Medium Risk,Math
16,-0.29,0.66,1.53,-0.09,0.48,-1.44,0.42,1.48,-0.9,Average,Low Risk,Math
17,1.08,1.75,1.25,1.83,1.82,0.52,0.9,-1.55,1.6,Good,Low Risk,Math
18,-1.09,-1.56,-1.39,1.83,1.19,1.17,-0.07,0.32,-0.16,Poor,Low Risk,English
19,-1.14,-1.23,-0.68,-0.58,0.91,0.52,1.87,0.13,-0.76,Poor,Low Risk,English
20,0.28,-1.56,0.02,1.35,1.19,-1.44,-0.55,-0.52,-1.5,Poor,Low Risk,English
21,-1.23,-1.08,0.73,0.39,0.27,1.82,0.42,-1.41,-0.3,Poor,Low Risk,Math
22,0.23,0.19,0.78,-1.06,1.82,1.17,-0.55,1.72,0.44,Good,Low Risk,English
23,-0.43,1.56,0.5,-1.54,1.82,-1.44,1.87,-0.62,1.74,Average,High Risk,Math
24,-0.24,-1.18,-0.87,-1.06,0.63,0.52,1.39,0.08,-1.32,Poor,Low Risk,English
25,-0.9,-0.85,1.63,-0.09,1.89,-0.79,-1.52,1.44,1.0,Average,Low Risk,Math
26,0.09,-1.08,-0.92,0.87,0.7,-1.44,0.9,-0.85,-0.71,Poor,Low Risk,English
27,1.32,0.71,-0.78,1.35,1.4,-0.79,0.42,1.25,1.05,Good,Low Risk,Science
28,0.23,-0.71,-1.11,-0.58,-1.2,-0.79,-0.07,-1.18,-0.39,Poor,High Risk,Science
29,1.56,-0.66,0.45,1.83,1.96,0.52,-0.55,-1.08,-0.53,Average,Low Risk,English
30,-1.09,-1.13,-1.11,1.83,-0.78,-1.44,1.39,-0.06,-1.27,Poor,Medium Risk,English
31,1.51,1.04,-0.07,0.39,-0.71,-0.14,-1.52,1.02,0.72,Good,Medium Risk,Science
32,1.37,1.23,1.63,1.83,-0.57,-0.79,-0.07,0.18,-0.02,Good,Medium Risk,English
33,-0.95,-0.42,1.3,0.87,0.2,-0.79,-1.03,-1.32,-1.27,Average,Low Risk,Math
34,-0.24,1.18,0.73,0.87,-0.5,-0.14,0.9,1.06,-0.39,Average,Medium Risk,Math
35,-0.81,-1.32,-0.21,1.35,-0.08,0.52,-1.52,-0.66,-0.81,Poor,Medium Risk,English
36,-0.62,0.38,-0.96,0.39,1.75,1.17,0.42,-1.27,0.31,Average,Low Risk,Science
